,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Date_interval,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTP,ATP,PtDiff
151,2005-12-10,Liverpool,Middlesbrough,2,0,H,2005-12-10,2,0,0,0,2,0,3,0,3
152,2005-12-10,Newcastle,Arsenal,1,0,H,2005-12-10,1,0,0,0,1,0,3,0,3
153,2005-12-10,West Brom,Man City,2,0,H,2005-12-10,2,5,0,0,2,5,3,3,0
154,2005-12-11,Man United,Everton,1,1,D,2005-12-17,7,2,1,1,6,1,4,1,3
155,2005-12-12,Tottenham,Portsmouth,3,1,H,2005-12-17,3,2,1,1,2,1,3,0,3
156,2005-12-14,Everton,West Ham,1,2,A,2005-12-17,2,4,7,7,-5,-3,0,3,-3
157,2005-12-14,Man United,Wigan,4,0,H,2005-12-17,7,3,1,1,6,2,4,0,4
158,2005-12-17,Aston Villa,Man United,0,2,A,2005-12-17,0,7,2,2,-2,5,0,3,-3
159,2005-12-17,Everton,Bolton,0,4,A,2005-12-17,2,4,7,7,-5,-3,0,3,-3
160,2005-12-17,Fulham,Blackburn,2,1,H,2005-12-17,2,1,1,1,1,0,3,0,3
161,2005-12-17,Man City,Birmingham,4,1,H,2005-12-17,4,1,1,1,3,0,3,0,3
162,2005-12-17,Portsmouth,West Brom,1,0,H,2005-12-17,2,0,3,3,-1,-3,3,0,3
163,2005-12-17,West Ham,Newcastle,2,4,A,2005-12-17,4,4,5,5,-1,-1,0,3,-3
164,2005-12-17,Wigan,Charlton,3,0,H,2005-12-17,3,0,4,4,-1,-4,3,0,3
165,2005-12-18,Arsenal,Chelsea,0,2,A,2005-12-24,0,2,2,2,-2,0,0,3,-3
166,2005-12-18,Middlesbrough,Tottenham,3,3,D,2005-12-24,3,3,3,3,0,0,1,1,0
167,2005-12-26,Aston Villa,Everton,4,0,H,2005-12-31,7,2,3,3,4,-1,4,3,1
168,2005-12-26,Charlton,Arsenal,0,1,A,2005-12-31,2,5,1,1,1,4,3,4,-1
169,2005-12-26,Chelsea,Fulham,3,2,H,2005-12-31,6,5,2,2,4,3,6,0,6
170,2005-12-26,Liverpool,Newcastle,2,0,H,2005-12-31,6,0,1,1,5,-1,6,0,6
171,2005-12-26,Man United,West Brom,3,0,H,2005-12-31,9,2,3,3,6,-1,6,0,6
172,2005-12-26,Middlesbrough,Blackburn,0,2,A,2005-12-31,0,5,2,2,-2,3,1,6,-5
173,2005-12-26,Portsmouth,West Ham,1,1,D,2005-12-31,2,1,5,5,-3,-4,4,1,3
174,2005-12-26,Sunderland,Bolton,0,0,D,2005-12-31,0,1,1,1,-1,0,1,1,0
175,2005-12-26,Tottenham,Birmingham,2,0,H,2005-12-31,4,2,2,2,2,0,6,0,6
176,2005-12-26,Wigan,Man City,4,3,H,2005-12-31,6,3,6,6,0,-3,3,1,2
177,2005-12-28,Arsenal,Portsmouth,4,0,H,2005-12-31,5,2,0,0,5,2,3,0,3
178,2005-12-28,Birmingham,Man United,2,2,D,2005-12-31,2,9,6,6,-4,3,1,1,0
179,2005-12-28,Everton,Liverpool,1,3,A,2005-12-31,2,6,7,7,-5,-1,0,3,-3
180,2005-12-28,Fulham,Aston Villa,3,3,D,2005-12-31,5,7,7,7,-2,0,1,1,0
181,2005-12-28,Man City,Chelsea,0,1,A,2005-12-31,3,6,5,5,-2,1,0,3,-3
182,2005-12-28,West Brom,Tottenham,2,0,H,2005-12-31,2,4,4,4,-2,0,3,0,3
183,2005-12-28,West Ham,Wigan,0,2,A,2005-12-31,1,6,5,5,-4,1,0,3,-3
184,2005-12-31,Aston Villa,Arsenal,0,0,D,2005-12-31,7,5,3,3,4,2,4,4,0
185,2005-12-31,Charlton,West Ham,2,0,H,2005-12-31,2,1,1,1,1,0,3,1,2
186,2005-12-31,Chelsea,Birmingham,2,0,H,2005-12-31,6,2,2,2,4,0,6,0,6
187,2005-12-31,Liverpool,West Brom,1,0,H,2005-12-31,6,2,1,1,5,1,6,0,6
188,2005-12-31,Man United,Bolton,4,1,H,2005-12-31,9,1,3,3,6,-2,6,1,5
189,2005-12-31,Middlesbrough,Man City,0,0,D,2005-12-31,0,3,2,2,-2,1,1,1,0
190,2005-12-31,Portsmouth,Fulham,1,0,H,2005-12-31,2,5,5,5,-3,0,4,0,4
191,2005-12-31,Sunderland,Everton,0,1,A,2005-12-31,0,2,1,1,-1,1,1,3,-2
192,2005-12-31,Tottenham,Newcastle,2,0,H,2005-12-31,4,0,2,2,2,-2,6,0,6
193,2005-12-31,Wigan,Blackburn,0,3,A,2005-12-31,6,5,6,6,0,-1,3,6,-3
194,2006-01-02,Birmingham,Wigan,2,0,H,2006-01-07,2,0,0,0,2,0,3,0,3
195,2006-01-02,Blackburn,Portsmouth,2,1,H,2006-01-07,2,1,1,1,1,0,3,0,3
196,2006-01-02,Bolton,Liverpool,2,2,D,2006-01-07,2,2,2,2,0,0,1,1,0
197,2006-01-02,Everton,Charlton,3,1,H,2006-01-07,3,1,1,1,2,0,3,0,3
198,2006-01-02,Fulham,Sunderland,2,1,H,2006-01-07,2,1,1,1,1,0,3,0,3
199,2006-01-02,Newcastle,Middlesbrough,2,2,D,2006-01-07,2,2,2,2,0,0,1,1,0
